f_LM1 is high;sat_f_LM2 is high;>;sat_f_Out_E = 1
f_LM2 is high;sat_f_LM1 is high;>;sat_f_Out_W = 1
f_LM2 is high;sat_f_LM3 is high;>;sat_f_Out_S = 1
f_LM2 is high;sat_f_LM5 is high;>;sat_f_Out_E = 1
f_LM3 is high;sat_f_LM2 is high;>;sat_f_Out_N = 1
f_LM3 is high;sat_f_LM6 is high;>;sat_f_Out_E = 1
f_LM3 is high;sat_f_LM8 is high;>;sat_f_Out_S = 1
f_LM4 is high;sat_f_LM9 is high;>;sat_f_Out_E = 1
f_LM5 is high;sat_f_LM2 is high;>;sat_f_Out_W = 1
f_LM5 is high;sat_f_LM10 is high;>;sat_f_Out_E = 1
f_LM6 is high;sat_f_LM3 is high;>;sat_f_Out_W = 1
f_LM6 is high;sat_f_LM7 is high;>;sat_f_Out_S = 1
f_LM6 is high;sat_f_LM9 is high;>;sat_f_Out_N = 1
f_LM7 is high;sat_f_LM6 is high;>;sat_f_Out_N = 1
f_LM7 is high;sat_f_LM11 is high;>;sat_f_Out_S = 1
f_LM7 is high;sat_f_LM13 is high;>;sat_f_Out_E = 1
f_LM8 is high;sat_f_LM3 is high;>;sat_f_Out_N = 1
f_LM8 is high;sat_f_LM11 is high;>;sat_f_Out_E = 1
f_LM9 is high;sat_f_LM4 is high;>;sat_f_Out_N = 1
f_LM9 is high;sat_f_LM6 is high;>;sat_f_Out_W = 1
f_LM9 is high;sat_f_LM11 is high;>;sat_f_Out_E = 1
f_LM10 is high;sat_f_LM5 is high;>;sat_f_Out_N = 1
f_LM10 is high;sat_f_LM12 is high;>;sat_f_Out_S = 1
f_LM10 is high;sat_f_LM17 is high;>;sat_f_Out_E = 1
f_LM11 is high;sat_f_LM7 is high;>;sat_f_Out_N = 1
f_LM11 is high;sat_f_LM8 is high;>;sat_f_Out_W = 1
f_LM11 is high;sat_f_LM13 is high;>;sat_f_Out_E = 1
f_LM12 is high;sat_f_LM9 is high;>;sat_f_Out_W = 1
f_LM12 is high;sat_f_LM10 is high;>;sat_f_Out_N = 1
f_LM12 is high;sat_f_LM14 is high;>;sat_f_Out_S = 1
f_LM12 is high;sat_f_LM17 is high;>;sat_f_Out_E = 1
f_LM12 is high;sat_f_LM7 is high;>;sat_f_Out_N = 1
f_LM12 is high;sat_f_LM14 is high;>;sat_f_Out_E = 1
f_LM13 is high;sat_f_LM7 is high;>;sat_f_Out_N = 1
f_LM13 is high;sat_f_LM11 is high;>;sat_f_Out_W = 1
f_LM13 is high;sat_f_LM15 is high;>;sat_f_Out_E = 1
f_LM14 is high;sat_f_LM12 is high;>;sat_f_Out_N = 1
f_LM14 is high;sat_f_LM15 is high;>;sat_f_Out_S = 1
f_LM14 is high;sat_f_LM18 is high;>;sat_f_Out_E = 1
f_LM15 is high;sat_f_LM13 is high;>;sat_f_Out_W = 1
f_LM15 is high;sat_f_LM14 is high;>;sat_f_Out_N = 1
f_LM16 is high;sat_f_LM18 is high;>;sat_f_Out_E = 1
f_LM17 is high;sat_f_LM10 is high;>;sat_f_Out_N = 1
f_LM17 is high;sat_f_LM12 is high;>;sat_f_Out_W = 1
f_LM17 is high;sat_f_LM18 is high;>;sat_f_Out_S = 1
f_LM18 is high;sat_f_LM14 is high;>;sat_f_Out_S = 1
f_LM18 is high;sat_f_LM16 is high;>;sat_f_Out_W = 1
f_LM18 is high;sat_f_LM17 is high;>;sat_f_Out_N = 1
